NOM_FORET,burned_buffer_m2,burned_core_m2,date,month,year
Wari-Maro,0,0,3/1/15,3,2015
Wari-Maro,0,0,4/1/15,4,2015
Wari-Maro,0,0,5/1/15,5,2015
Wari-Maro,0,0,6/1/15,6,2015
Wari-Maro,0,0,7/1/15,7,2015
Wari-Maro,0,0,8/1/15,8,2015
Wari-Maro,0,0,9/1/15,9,2015
Wari-Maro,0,0,10/1/15,10,2015
Wari-Maro,42.94811219,1.895033617,11/1/15,11,2015
Wari-Maro,49.2229223,9.278031875,12/1/15,12,2015
Wari-Maro,62.87368596,167.2360449,1/1/16,1,2016
Wari-Maro,0.248964922,1.991707,2/1/16,2,2016
Wari-Maro,0,0,3/1/16,3,2016
Wari-Maro,0,0,4/1/16,4,2016
Wari-Maro,0,0,5/1/16,5,2016
Wari-Maro,0,0,6/1/16,6,2016
Wari-Maro,0,0,7/1/16,7,2016
Wari-Maro,0,0,8/1/16,8,2016
Wari-Maro,0,0,9/1/16,9,2016
Wari-Maro,0,0,10/1/16,10,2016
Wari-Maro,0,0,11/1/16,11,2016
Wari-Maro,75.4761228,2.169405659,12/1/16,12,2016
Wari-Maro,35.13210437,31.61862852,1/1/17,1,2017
Wari-Maro,61.05539056,128.1401116,2/1/17,2,2017
Wari-Maro,0,0,3/1/17,3,2017
Wari-Maro,0,0,4/1/17,4,2017
Wari-Maro,0,0,5/1/17,5,2017
Wari-Maro,0,0,6/1/17,6,2017
Wari-Maro,0,0,7/1/17,7,2017
Wari-Maro,0,0,8/1/17,8,2017
Wari-Maro,0,0,9/1/17,9,2017
Wari-Maro,0,0,10/1/17,10,2017
Wari-Maro,0,0,11/1/17,11,2017
Wari-Maro,0,0,12/1/17,12,2017
Wari-Maro,94.17229114,94.03355802,1/1/18,1,2018
Wari-Maro,9.963305299,10.45645348,2/1/18,2,2018
Wari-Maro,1.244819797,0.995850344,3/1/18,3,2018
Wari-Maro,0,0,4/1/18,4,2018
Wari-Maro,0,0,5/1/18,5,2018
Wari-Maro,0,0,6/1/18,6,2018
Wari-Maro,0,0,7/1/18,7,2018
Wari-Maro,0,0,8/1/18,8,2018
Wari-Maro,0,0,9/1/18,9,2018
Wari-Maro,0,0,10/1/18,10,2018
Wari-Maro,0,0,11/1/18,11,2018
Wari-Maro,0,0,12/1/18,12,2018
Wari-Maro,8.129855474,0,1/1/19,1,2019
Wari-Maro,137.9667447,22.63217735,2/1/19,2,2019
Wari-Maro,0,0.248964266,3/1/19,3,2019
Wari-Maro,0,0,4/1/19,4,2019
Wari-Maro,0,0,5/1/19,5,2019
Wari-Maro,0,0,6/1/19,6,2019
Wari-Maro,0,0,7/1/19,7,2019
Wari-Maro,0,0,8/1/19,8,2019
Wari-Maro,0,0,9/1/19,9,2019
Wari-Maro,0,0,10/1/19,10,2019
Wari-Maro,0,0,11/1/19,11,2019
Wari-Maro,0,0,12/1/19,12,2019
Wari-Maro,6.660459119,4.820150887,1/1/20,1,2020
Wari-Maro,105.4968904,216.8546006,2/1/20,2,2020
Wari-Maro,0,0,3/1/20,3,2020
Wari-Maro,0,0,4/1/20,4,2020
Wari-Maro,0,0,5/1/20,5,2020
Wari-Maro,0,0,6/1/20,6,2020
